,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Intentional homicide count and rate per 100,000 population, by country/territory (2000-2012)",,,,,,,,,,,,,,,,,,
Intentional homicide is defined as unlawful death purposefully inflicted on a person by another person,,,,,,,,,,,,,,,,,,
Region,Sub-region,Country/territory, Source,,Indicator,Year,,,,,,,,,,,,
,,Yemen,CJ,CTS/NSO,Rate,4.0,,,3.7,3.3,4.7,4.3,4.0,4.0,4.5,4.8,,
,,,,,Count,697,,,704,646,945,895,850,874,990,"1,099",,
Europe,Eastern Europe,Belarus,CJ,CTS/Transmonee,Rate,10.1,9.8,10.0,9.0,8.4,8.5,7.6,6.8,5.7,5.0,5.1,,
,,,,,Count,"1,013",969,989,879,815,825,734,649,541,473,486,,
,,Bulgaria,CJ,CTS/Eurostat,Rate,,,,3.2,3.2,2.6,2.4,2.3,2.3,2.0,2.0,1.7,1.9
,,,,,Count,,,,247,244,199,186,177,172,150,147,128,141
,,Czech Republic,CJ,National police,Rate,1.8,1.4,1.5,1.6,1.3,1.1,1.3,1.2,1.1,0.9,1.0,0.8,1.0
,,,,,Count,181,142,149,163,134,108,130,126,114,94,103,86,105
,,Hungary,CJ,CTS,Rate,2.0,2.5,2.0,2.2,2.1,1.6,1.7,1.5,1.5,1.4,1.3,1.4,1.3
,,,,,Count,205,254,203,228,209,164,174,154,146,139,133,142,132
,,Poland,CJ,CTS/Eurostat,Rate,2.2,2.0,1.9,1.7,1.7,1.5,1.3,1.4,1.2,1.3,1.1,1.2,
,,,,,Count,855,776,716,662,633,555,490,525,460,493,436,449,
,,Republic of Moldova,CJ,CTS,Rate,10.5,10.1,10.1,8.2,7.2,7.9,7.1,5.9,6.5,6.8,7.5,8.6,6.5
,,,,,Count,433,410,399,319,277,296,262,217,236,246,267,304,229
,,Romania,CJ,CTS,Rate,2.5,2.7,2.5,2.5,2.3,2.1,2.0,1.9,2.1,1.8,1.8,1.5,1.7
,,,,,Count,560,597,563,551,516,457,438,416,470,397,404,335,378
,,Russian Federation,CJ,CTS,Rate,,,,,,,,,11.6,11.1,10.1,9.6,9.2
,,,,,Count,,,,,,,,,"16,617","15,954","14,574","13,826","13,120"
,,Slovakia,CJ,Transmonee/CTS,Rate,2.7,2.4,2.6,2.7,2.3,2.0,1.6,1.6,1.7,1.5,1.6,1.8,1.4
,,,,,Count,143,129,138,146,122,106,89,89,94,84,89,96,75
,,Ukraine,CJ,CTS,Rate,,,,7.6,7.3,6.4,6.3,5.7,5.2,4.7,4.3,,
,,,,,Count,,,,"3,618","3,475","3,025","2,931","2,639","2,438","2,194","1,988",,
,Northern Europe,Denmark,CJ,CTS,Rate,1.1,1.0,1.0,1.2,0.8,1.0,0.5,0.7,1.0,0.9,0.8,0.8,0.8
,,,,,Count,58,52,56,65,43,53,29,39,54,47,42,46,47
,,Estonia,CJ,CTS/Eurostat,Rate,10.5,10.1,10.5,11.0,6.8,8.5,6.9,7.1,6.4,5.4,5.4,5.0,
,,,,,Count,143,137,142,147,91,113,91,93,84,70,70,65,
,,Finland,CJ,CTS,Rate,2.9,3.0,2.5,2.0,2.8,2.2,2.3,2.5,2.5,2.2,2.2,2.1,1.6
,,,,,Count,148,156,132,105,146,117,119,130,133,120,116,114,89
,,Iceland,CJ,Eurostat/CTS,Rate,1.8,0.4,1.4,0.0,1.0,1.0,0.0,0.7,0.0,0.3,0.6,0.9,0.3
,,,,,Count,5,1,4,0,3,3,0,2,0,1,2,3,1
,,Ireland,CJ,CTS/National police/NSO,Rate,1.0,1.3,1.3,1.1,0.7,1.3,1.5,1.8,1.1,1.3,1.2,0.9,1.2
,,,,,Count,37,52,52,45,30,52,62,78,50,56,53,42,54
,,Latvia,CJ,CTS,Rate,10.0,9.3,9.2,8.8,8.0,5.7,5.8,4.3,4.6,5.1,3.3,3.3,4.7
,,,,,Count,238,219,214,202,181,126,128,94,99,108,70,69,97
,,Lithuania,CJ,CTS,Rate,,,,,10.3,11.3,8.9,8.7,9.5,8.1,7.1,6.9,6.7
,,,,,Count,,,,,343,372,288,277,298,252,219,211,202
,,Norway,CJ,CTS/Eurostat,Rate,1.1,0.8,1.0,1.1,0.8,0.7,0.7,0.6,0.7,0.6,0.6,2.2,
,,,,,Count,49,37,46,51,36,33,33,30,34,29,29,111,
,,Sweden,CJ,National Council for Crime Prevention,Rate,1.1,1.0,1.1,1.0,1.2,0.9,1.0,1.2,0.8,0.9,1.0,0.9,0.7
,,,,,Count,96,87,101,85,107,79,88,107,77,87,91,81,68
,,United Kingdom,CJ,Eurostat/CTS,Rate,1.7,1.8,2.0,1.7,1.6,1.5,1.4,1.4,1.2,1.2,1.2,1.0,
,,,,,Count,"1,002","1,039","1,201","1,039",983,896,863,873,760,714,753,653,
,Southern Europe,Albania,CJ,CTS,Rate,,,,,,4.8,3.0,3.3,2.9,2.7,4.0,4.5,5.0
,,,,,Count,,,,,,154,95,105,93,85,127,142,157
,,Andorra,CJ,CTS/Interpol,Rate,,,,,1.3,,,0.0,1.3,1.3,1.3,,
,,,,,Count,,,,,1,,,0,1,1,1,,
,,Bosnia and Herzegovina,CJ,CTS,Rate,,,,,,,,,,1.8,1.5,1.3,
,,,,,Count,,,,,,,,,,71,56,51,
,,Croatia,CJ,Ministry of Interior,Rate,2.3,1.8,1.6,1.5,1.9,1.5,1.6,1.4,1.5,1.1,1.4,1.1,1.2
,,,,,Count,101,81,73,67,83,66,68,61,67,49,62,48,51
,,Greece,CJ,CTS/Eurostat,Rate,0.7,1.2,0.9,1.1,1.0,1.2,1.0,1.2,1.3,1.3,1.6,1.7,
,,,,,Count,81,132,94,122,111,132,110,128,139,144,179,184,
,,Italy,CJ,CTS,Rate,1.3,1.2,1.1,1.2,1.2,1.0,1.1,1.1,1.0,1.0,0.9,0.9,0.9
,,,,,Count,766,709,644,719,720,610,625,631,615,590,529,552,530
,,Kosovo (in compliance with UN Security Council Resolution 1244/99),CJ,Eurostat,Rate,,,,,,,,,4.4,3.2,3.6,,
,,,,,Count,,,,,,,,,77,56,64,,
,,Malta,CJ,Eurostat/CTS,Rate,1.0,1.5,1.5,0.0,1.7,1.0,0.0,1.0,1.4,0.9,0.9,0.7,2.8
,,,,,Count,4,6,6,0,7,4,0,4,6,4,4,3,12
,,Montenegro,CJ,CTS,Rate,,,,,,,,1.9,3.9,3.4,2.4,3.4,2.7
,,,,,Count,,,,,,,,12,24,21,15,21,17
,,Portugal,CJ,Eurostat/CTS,Rate,1.1,1.0,1.1,1.4,1.4,1.3,1.5,1.8,1.2,1.2,1.2,1.1,1.2
,,,,,Count,116,105,119,149,144,133,155,185,124,130,124,114,122
,,San Marino,PH,WHO,Rate,,,,,,,,,,,,,0.7
,,,,,Count,,,,,,,,,,,,,x
,,Serbia,CJ,Eurostat/CTS,Rate,2.2,2.4,2.0,1.7,1.6,1.5,1.6,1.7,1.4,1.5,1.3,1.4,1.2
,,,,,Count,228,243,200,176,164,147,156,171,140,145,123,132,111
,,Slovenia,CJ,CTS,Rate,1.8,1.4,1.8,1.1,1.4,1.0,0.6,1.2,0.5,0.6,0.7,0.8,0.7
,,,,,Count,36,28,36,21,27,20,12,24,10,13,15,16,14
,,Spain,CJ,Eurostat/CTS,Rate,1.4,1.4,1.4,1.4,1.2,1.2,1.1,1.1,0.9,0.9,0.8,0.8,0.8
,,,,,Count,553,577,564,587,520,518,476,482,426,399,390,387,364
,,The former Yugoslav Republic of Macedonia,CJ,CTS/Eurostat,Rate,2.3,2.7,2.9,3.4,2.3,2.1,2.2,2.0,1.7,1.7,2.0,1.4,
,,,,,Count,47,55,60,70,49,44,46,42,35,35,43,30,
,Western Europe,Austria,CJ,CTS/Eurostat,Rate,1.0,0.9,0.8,0.6,0.7,0.7,0.7,0.5,0.5,0.5,0.6,0.8,0.9
,,,,,Count,82,70,65,50,59,54,61,45,45,43,53,71,77
,,Belgium,CJ,CTS/Eurostat,Rate,2.1,2.7,3.1,2.2,2.6,2.1,2.1,2.0,1.9,1.7,1.7,1.9,1.6
,,,,,Count,212,282,319,230,268,221,221,211,203,189,187,206,182
,,France,CJ,CTS/Eurostat,Rate,1.8,1.8,1.9,1.6,1.6,1.6,1.4,1.3,1.3,1.1,1.1,1.2,1.0
,,,,,Count,"1,051","1,047","1,119",987,990,976,879,826,839,682,675,743,665
,,Germany,CJ,Eurostat/CTS,Rate,1.2,1.1,1.1,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.8,
,,,,,Count,"1,015",925,955,859,868,869,808,757,722,706,690,662,
,,Liechtenstein,CJ,Eurostat/CTS,Rate,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,2.8,0.0,2.8,0.0,0.0
,,,,,Count,0,0,0,0,1,0,0,0,1,0,1,0,0
,,Luxembourg,CJ,Eurostat/UNECE/CTS,Rate,0.9,2.0,1.4,0.7,0.4,0.9,1.9,1.5,1.6,1.0,2.0,0.8,
,,,,,Count,4,9,6,3,2,4,9,7,8,5,10,4,
,,Monaco,CJ,CTS,Rate,,3.1,,,3.0,3.0,2.9,0.0,0.0,,,,
,,,,,Count,,1,,,1,1,1,0,0,,,,
,,Netherlands,PH,NSO,Rate,1.1,1.3,1.2,1.3,1.2,1.1,0.8,0.9,0.9,0.9,0.9,0.9,0.9
,,,,,Count,180,202,195,202,191,174,128,143,150,154,144,143,145
,,Switzerland,CJ,CTS/Eurostat,Rate,1.0,1.2,1.2,1.0,1.1,1.0,0.8,0.7,0.7,0.7,0.7,0.6,
,,,,,Count,69,86,86,73,78,75,60,51,54,51,52,46,
Oceania,Australia and New Zealand,Australia,CJ,Eurostat/CTS/NSO,Rate,1.9,1.8,1.9,1.7,1.5,1.3,1.3,1.2,1.2,1.2,1.0,1.1,1.1
,,,,,Count,362,347,366,341,302,259,281,255,261,263,230,244,254
,,New Zealand,CJ,CTS/National police,Rate,1.3,1.3,1.5,1.1,1.1,1.5,1.2,1.1,1.2,1.5,1.0,0.9,0.9
,,,,,Count,52,51,60,44,45,61,49,48,51,67,43,39,41
,Melanesia,Fiji,PH,WHO,Rate,,,,,,,,,,,,,4.0
,,,,,Count,,,,,,,,,,,,,35
,,New Caledonia,CJ,National police,Rate,,,,,,,3.4,5.1,4.6,3.3,,,
,,,,,Count,,,,,,,8,12,11,8,,,
,,Papua New Guinea,CJ,CTS/National police,Rate,8.6,7.9,8.3,10.5,5.2,9.9,9.8,8.1,9.2,10.4,10.4,,
,,,,,Count,465,436,470,609,309,603,610,520,603,697,713,,
,,Solomon Islands,PH,WHO,Rate,,,,,,,,,,,,,4.3
,,,,,Count,,,,,,,,,,,,,24
,,Vanuatu,PH,WHO,Rate,,,,,,,,,,,,,2.9
,,,,,Count,,,,,,,,,,,,,7
,Micronesia,Guam,CJ,National police,Rate,1.3,5.1,1.3,5.1,5.7,4.4,6.9,0.6,0.6,3.2,1.9,2.5,
,,,,,Count,2,8,2,8,9,7,11,1,1,5,3,4,
,,Kiribati,PH,WHO,Rate,,,,,,,,,,,,,8.2
,,,,,Count,,,,,,,,,,,,,8
,,Marshall Islands,PH,WHO,Rate,,,,,,,,,,,,,4.7
,,,,,Count,,,,,,,,,,,,,2
,,Micronesia (Federated States of),PH,WHO,Rate,,,,,,,,,,,,,4.6
,,,,,Count,,,,,,,,,,,,,5
,,Nauru,PH,WHO,Rate,,,,,,,,,,,,,1.3
,,,,,Count,,,,,,,,,,,,,x
,,Palau,PH,WHO,Rate,,,,,,,,,,,,,3.1
,,,,,Count,,,,,,,,,,,,,x
,Polynesia,Cook Islands,PH,WHO,Rate,,,,,,,,,,,,,3.1
,,,,,Count,,,,,,,,,,,,,x
,,French Polynesia,CJ,National police,Rate,,,,,,,1.2,2.7,3.4,0.4,,,
,,,,,Count,,,,,,,3,7,9,1,,,
,,Niue,PH,WHO,Rate,,,,,,,,,,,,,3.6
,,,,,Count,,,,,,,,,,,,,x
,,Samoa,PH,WHO,Rate,,,,,,,,,,,,,3.6
,,,,,Count,,,,,,,,,,,,,7
,,Tonga,CJ,CTS/National police,Rate,1.0,6.1,6.1,6.0,2.0,4.0,7.9,1.0,3.9,7.7,1.0,1.9,1.0
,,,,,Count,1,6,6,6,2,4,8,1,4,8,1,2,1
,,Tuvalu,PH,WHO,Rate,,,,,,,,,,,,,4.2
,,,,,Count,,,,,,,,,,,,,x
,,,,,,,,,,,,,,,,,,
x due to small population size the estimated count is less than 2,,,,,,,,,,,,,,,,,,
* CTS Victims data are continued using UNECE trend data,,,,,,,,,,,,,,,,,,
"+ In 2009, the Philippine National Police (PNP) has implemented a new crime reporting system wherein crime data for 2009 was set as the baseline for future research, study and comparison. Thus, crime statistics in 2009 cannot be compared with those data obtained in the previous years (2008 and earlier) since the parameters were no longer the same.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
# Note: data were updated on 6 October 2014 and supersede data published in the Global Study on Homicide 2013,,,,,,,,,,,,,,,,,,
